Year;Team;Red;Yellow;Blue;Green;White;Black
2014;Australia;0;0;0;0;0;0
2014;Iran;0;0;0;0;0;0
2014;Japan;0;0;0;0;0;0
2014;South Korea;0;0;0;0;0;0
2014;Algeria;0;0;0;0;0;0
2014;Cameroon;0;0;0;0;0;0
2014;Ghana;0;0;0;0;0;0
2014;Ivory Coast;0;0;0;0;0;0
2014;Nigeria;0;0;0;0;0;0
2014;Costa Rica;0;0;0;0;0;0
2014;Honduras;0;0;0;0;0;0
2014;Mexico;0;0;0;0;0;0
2014;United States;0;0;0;0;0;0
2014;Argentina;0;0;0;0;0;0
2014;Brazil;0;0;0;0;0;0
2014;Chile;0;0;0;0;0;0
2014;Colombia;0;0;0;0;0;0
2014;Ecuador;0;0;0;0;0;0
2014;Uruguay;0;0;0;0;0;0
2014;Belgium;0;0;0;0;0;0
2014;Bosnia and Herzegovina;0;0;0;0;0;0
2014;Croatia;0;0;0;0;0;0
2014;England;0;0;0;0;0;0
2014;France;0;0;0;0;0;0
2014;Germany;0;0;0;0;0;0
2014;Greece;0;0;0;0;0;0
2014;Italy;0;0;0;0;0;0
2014;Netherlands;0;0;0;0;0;0
2014;Portugal;0;0;0;0;0;0
2014;Russia;0;0;0;0;0;0
2014;Spain;0;0;0;0;0;0
2014;Switzerland;0;0;0;0;0;0
2018;Russia;0.333333333;0;0.333333333;0;0.333333333;0
2012;Brazil;0;0.25;0.12;0.6;0.03;0
2018;Iran;0.333333333;0;0;0.333333333;0.333333333;0
2018;Japan;0.15;0;0;0;0.85;0
2018;Mexico;0.333333333;0;0;0.333333333;0.333333333;0
2018;Belgium;0.333333333;0.333333333;0;0;0;0.333333333
2018;South Korea;0.075;0;0.075;0;0.7;0.15
2018;Saudi Arabia;0;0;0;0.95;0.05;0
2018;Germany;0.333333333;0.333333333;0;0;0;0.333333333
2018;England;0.25;0;0;0;0.75;0
2018;Spain;0.45;0.55;0;0;0;0
2018;Nigeria;0;0;0;0.666666667;0.333333333;0
2018;Costa Rica;0.333333333;0;0.333333333;0;0.333333333;0
2018;Poland;0.5;0;0;0;0.5;0
2018;Egypt;0.333333333;0;0;0;0.333333333;0.333333333
2018;Iceland;0.3;0;0.6;0;0.1;0
2018;Serbia;0.333333333;0;0.333333333;0;0.333333333;0
2018;Portugal;0.55;0.1;0;0.35;0;0
2018;France;0.333333333;0;0.333333333;0;0.333333333;0
2018;Uruguay;0;0.1;0.4;0;0.5;0
2018;Argentina;0;0;0.666666667;0;0.333333333;0
2018;Colombia;0.25;0.5;0.25;0;0;0
2018;Panama;0.275;0;0.275;0;0.45;0
2018;Senegal;0.333333333;0.266666667;0;0.4;0;0
2018;Morocco;0.95;0;0;0.05;0;0
2018;Tunisia;0.85;0;0;0;0.15;0
2018;Switzerland;0.7;0;0;0;0.3;0
2018;Croatia;0.4;0;0.3;0;0.3;0
2018;Sweden;0;0.3;0.7;0;0;0
2018;Denmark;0.7;None;None;None;0.3;None
2018;Australia;0.15;0;0.75;0;0.1;0
2018;Peru;0.666666667;0;0;0;0.333333333;0
2018;Watttopia;0.333333333;0;0;0.333333333;0.333333333;0
